Draw_Date,Number_1,Number_2,Number_3,Number_4,Number_5,Mega_Ball,Multiplier,Original_Combination
08/04/2023,11,30,45,52,56,20,2.0,11 30 45 52 56 MB:20
08/01/2023,8,24,30,45,61,12,4.0,08 24 30 45 61 MB:12
07/28/2023,5,10,28,52,63,18,5.0,05 10 28 52 63 MB:18
07/25/2023,3,5,6,44,61,25,4.0,03 05 06 44 61 MB:25
07/21/2023,29,40,47,50,57,25,2.0,29 40 47 50 57 MB:25
07/18/2023,19,22,31,37,54,18,4.0,19 22 31 37 54 MB:18
07/14/2023,10,24,48,51,66,15,2.0,10 24 48 51 66 MB:15
07/11/2023,10,17,33,51,64,5,2.0,10 17 33 51 64 MB:5
07/07/2023,8,10,17,55,66,3,3.0,08 10 17 55 66 MB:3
07/04/2023,21,33,54,61,67,12,3.0,21 33 54 61 67 MB:12
06/30/2023,13,22,47,51,55,9,3.0,13 22 47 51 55 MB:9
06/27/2023,8,34,35,41,52,12,4.0,08 34 35 41 52 MB:12
06/23/2023,13,62,65,67,69,14,5.0,13 62 65 67 69 MB:14
06/20/2023,6,37,39,45,46,21,4.0,06 37 39 45 46 MB:21
06/16/2023,4,24,34,45,57,19,3.0,04 24 34 45 57 MB:19
06/13/2023,8,10,19,44,47,4,4.0,08 10 19 44 47 MB:4
06/09/2023,3,19,53,60,68,13,3.0,03 19 53 60 68 MB:13
06/06/2023,6,12,23,29,57,4,2.0,06 12 23 29 57 MB:4
06/02/2023,3,16,19,36,60,25,2.0,03 16 19 36 60 MB:25
05/30/2023,13,16,40,64,68,21,2.0,13 16 40 64 68 MB:21
05/26/2023,12,20,37,41,64,1,3.0,12 20 37 41 64 MB:1
05/23/2023,3,10,22,65,66,19,2.0,03 10 22 65 66 MB:19
05/19/2023,5,11,41,44,55,14,2.0,05 11 41 44 55 MB:14
05/16/2023,15,34,36,69,70,17,3.0,15 34 36 69 70 MB:17
05/12/2023,1,2,23,40,45,15,3.0,01 02 23 40 45 MB:15
05/09/2023,4,37,46,48,51,19,3.0,04 37 46 48 51 MB:19
05/05/2023,16,18,28,42,43,11,3.0,16 18 28 42 43 MB:11
05/02/2023,3,15,16,32,41,9,2.0,03 15 16 32 41 MB:9
04/28/2023,18,38,53,62,64,20,3.0,18 38 53 62 64 MB:20
04/25/2023,8,29,46,47,48,12,2.0,08 29 46 47 48 MB:12
04/21/2023,3,21,29,46,63,9,3.0,03 21 29 46 63 MB:9
04/18/2023,7,9,15,19,25,4,2.0,07 09 15 19 25 MB:4
04/14/2023,23,27,41,48,51,22,2.0,23 27 41 48 51 MB:22
04/11/2023,31,35,53,54,55,24,3.0,31 35 53 54 55 MB:24
04/07/2023,12,32,49,51,66,21,2.0,12 32 49 51 66 MB:21
04/04/2023,1,37,45,62,64,4,3.0,01 37 45 62 64 MB:4
03/31/2023,16,26,27,42,61,23,4.0,16 26 27 42 61 MB:23
03/28/2023,2,3,18,32,68,24,4.0,02 03 18 32 68 MB:24
03/24/2023,14,17,33,42,66,15,3.0,14 17 33 42 66 MB:15
03/21/2023,1,21,25,27,40,11,2.0,01 21 25 27 40 MB:11
03/17/2023,26,28,29,39,49,25,3.0,26 28 29 39 49 MB:25
03/14/2023,1,7,23,38,55,2,3.0,01 07 23 38 55 MB:2
03/10/2023,9,20,59,60,63,5,2.0,09 20 59 60 63 MB:5
03/07/2023,15,22,25,28,69,21,4.0,15 22 25 28 69 MB:21
03/03/2023,8,25,36,39,67,11,4.0,08 25 36 39 67 MB:11
02/28/2023,14,16,40,52,59,13,2.0,14 16 40 52 59 MB:13
02/24/2023,2,22,49,65,67,7,4.0,02 22 49 65 67 MB:7
02/21/2023,2,15,30,36,63,24,2.0,02 15 30 36 63 MB:24
02/17/2023,2,33,38,57,70,13,3.0,02 33 38 57 70 MB:13
02/14/2023,23,24,35,40,43,1,3.0,23 24 35 40 43 MB:1
02/10/2023,20,29,30,52,58,19,3.0,20 29 30 52 58 MB:19
02/07/2023,9,15,46,55,57,4,2.0,09 15 46 55 57 MB:4
02/03/2023,1,4,50,54,59,17,2.0,01 04 50 54 59 MB:17
01/31/2023,7,9,18,29,39,13,4.0,07 09 18 29 39 MB:13
01/27/2023,4,43,46,47,61,22,4.0,04 43 46 47 61 MB:22
01/24/2023,33,41,47,50,62,20,4.0,33 41 47 50 62 MB:20
01/20/2023,20,29,31,64,66,17,4.0,20 29 31 64 66 MB:17
01/17/2023,2,12,18,24,39,18,3.0,02 12 18 24 39 MB:18
01/13/2023,30,43,45,46,61,14,2.0,30 43 45 46 61 MB:14
01/10/2023,7,13,14,15,18,9,3.0,07 13 14 15 18 MB:9
01/06/2023,3,20,46,59,63,13,3.0,03 20 46 59 63 MB:13
01/03/2023,25,29,33,41,44,18,4.0,25 29 33 41 44 MB:18
12/30/2022,1,3,6,44,51,7,3.0,01 03 06 44 51 MB:7
12/27/2022,9,13,36,59,61,11,2.0,09 13 36 59 61 MB:11
12/23/2022,15,21,32,38,62,8,4.0,15 21 32 38 62 MB:8
12/20/2022,3,4,33,36,52,17,4.0,03 04 33 36 52 MB:17
12/16/2022,8,35,40,53,56,11,3.0,08 35 40 53 56 MB:11
12/13/2022,14,22,48,58,68,6,2.0,14 22 48 58 68 MB:6
12/09/2022,8,19,53,61,69,19,4.0,08 19 53 61 69 MB:19
12/06/2022,15,16,19,28,47,13,3.0,15 16 19 28 47 MB:13
12/02/2022,1,21,36,46,52,16,3.0,01 21 36 46 52 MB:16
11/29/2022,20,23,37,46,52,6,4.0,20 23 37 46 52 MB:6
11/25/2022,29,31,46,54,67,18,2.0,29 31 46 54 67 MB:18
11/22/2022,13,23,24,25,43,2,3.0,13 23 24 25 43 MB:2
11/18/2022,2,14,16,38,66,9,4.0,02 14 16 38 66 MB:9
11/15/2022,6,19,28,46,61,18,2.0,06 19 28 46 61 MB:18
11/11/2022,1,5,17,37,70,22,3.0,01 05 17 37 70 MB:22
11/08/2022,5,13,29,38,59,23,4.0,05 13 29 38 59 MB:23
11/04/2022,2,20,47,55,59,19,2.0,02 20 47 55 59 MB:19
11/01/2022,5,9,15,16,17,25,3.0,05 09 15 16 17 MB:25
10/28/2022,4,18,31,53,69,7,2.0,04 18 31 53 69 MB:7
10/25/2022,21,30,35,45,66,21,3.0,21 30 35 45 66 MB:21
10/21/2022,34,36,43,45,68,22,2.0,34 36 43 45 68 MB:22
10/18/2022,1,15,20,44,67,23,3.0,01 15 20 44 67 MB:23
10/14/2022,9,22,26,41,44,19,2.0,09 22 26 41 44 MB:19
10/11/2022,3,7,11,13,38,1,3.0,03 07 11 13 38 MB:1
10/07/2022,6,11,29,36,55,21,2.0,06 11 29 36 55 MB:21
10/04/2022,15,18,25,33,38,25,2.0,15 18 25 33 38 MB:25
09/30/2022,16,26,37,40,51,6,4.0,16 26 37 40 51 MB:6
09/27/2022,8,14,24,43,51,9,3.0,08 14 24 43 51 MB:9
09/23/2022,5,50,53,58,64,22,4.0,05 50 53 58 64 MB:22
09/20/2022,9,21,28,30,52,10,5.0,09 21 28 30 52 MB:10
09/16/2022,15,30,35,38,66,12,4.0,15 30 35 38 66 MB:12
09/13/2022,14,25,38,59,64,21,4.0,14 25 38 59 64 MB:21
09/09/2022,16,21,54,55,69,22,2.0,16 21 54 55 69 MB:22
09/06/2022,6,17,46,59,68,2,4.0,06 17 46 59 68 MB:2
09/02/2022,39,40,52,60,67,20,2.0,39 40 52 60 67 MB:20
08/30/2022,2,38,55,57,65,17,3.0,02 38 55 57 65 MB:17
08/26/2022,6,27,30,38,64,23,2.0,06 27 30 38 64 MB:23
08/23/2022,3,5,47,48,67,7,2.0,03 05 47 48 67 MB:7
08/19/2022,12,18,24,46,65,3,4.0,12 18 24 46 65 MB:3
08/16/2022,33,35,41,45,51,1,2.0,33 35 41 45 51 MB:1
08/12/2022,23,24,50,54,64,3,3.0,23 24 50 54 64 MB:3
08/09/2022,1,8,10,25,32,13,3.0,01 08 10 25 32 MB:13
08/05/2022,2,5,29,64,69,18,3.0,02 05 29 64 69 MB:18
08/02/2022,10,14,25,37,63,14,3.0,10 14 25 37 63 MB:14
07/29/2022,13,36,45,57,67,14,2.0,13 36 45 57 67 MB:14
07/26/2022,7,29,60,63,66,15,3.0,07 29 60 63 66 MB:15
07/22/2022,14,40,60,64,66,16,3.0,14 40 60 64 66 MB:16
07/19/2022,2,31,32,37,70,25,3.0,02 31 32 37 70 MB:25
07/15/2022,8,20,26,53,64,15,5.0,08 20 26 53 64 MB:15
07/12/2022,4,7,10,45,64,12,2.0,04 07 10 45 64 MB:12
07/08/2022,20,36,61,62,69,20,3.0,20 36 61 62 69 MB:20
07/05/2022,27,31,50,51,61,21,4.0,27 31 50 51 61 MB:21
07/01/2022,1,27,29,38,62,12,3.0,01 27 29 38 62 MB:12
06/28/2022,7,12,21,43,55,11,2.0,07 12 21 43 55 MB:11
06/24/2022,1,7,11,25,56,14,2.0,01 07 11 25 56 MB:14
06/21/2022,8,13,18,32,42,20,3.0,08 13 18 32 42 MB:20
06/17/2022,20,36,53,56,69,16,2.0,20 36 53 56 69 MB:16
06/14/2022,30,37,38,42,58,22,2.0,30 37 38 42 58 MB:22
06/10/2022,3,12,14,18,32,4,5.0,03 12 14 18 32 MB:4
06/07/2022,4,34,40,41,53,3,4.0,04 34 40 41 53 MB:3
06/03/2022,11,16,22,48,59,11,4.0,11 16 22 48 59 MB:11
05/31/2022,6,15,41,63,64,24,4.0,06 15 41 63 64 MB:24
05/27/2022,3,14,40,53,54,8,3.0,03 14 40 53 54 MB:8
05/24/2022,3,5,6,63,68,25,3.0,03 05 06 63 68 MB:25
05/20/2022,33,40,59,60,69,22,3.0,33 40 59 60 69 MB:22
05/17/2022,7,21,24,41,65,24,4.0,07 21 24 41 65 MB:24
05/13/2022,11,41,43,44,65,13,3.0,11 41 43 44 65 MB:13
05/10/2022,15,19,20,61,70,6,3.0,15 19 20 61 70 MB:6
05/06/2022,16,21,33,52,70,10,2.0,16 21 33 52 70 MB:10
05/03/2022,15,19,27,35,57,17,2.0,15 19 27 35 57 MB:17
04/29/2022,9,11,34,49,66,15,2.0,09 11 34 49 66 MB:15
04/26/2022,5,7,19,46,69,2,4.0,05 07 19 46 69 MB:2
04/22/2022,7,28,29,58,59,10,3.0,07 28 29 58 59 MB:10
04/19/2022,2,9,33,47,53,24,3.0,02 09 33 47 53 MB:24
04/15/2022,4,17,20,46,64,23,4.0,04 17 20 46 64 MB:23
04/12/2022,2,8,14,20,31,17,2.0,02 08 14 20 31 MB:17
04/08/2022,8,11,29,32,40,2,3.0,08 11 29 32 40 MB:2
04/05/2022,22,43,60,63,64,18,2.0,22 43 60 63 64 MB:18
04/01/2022,26,42,47,48,63,21,5.0,26 42 47 48 63 MB:21
03/29/2022,7,22,36,45,47,12,2.0,07 22 36 45 47 MB:12
03/25/2022,3,13,42,51,58,17,2.0,03 13 42 51 58 MB:17
03/22/2022,8,15,21,27,61,8,3.0,08 15 21 27 61 MB:8
03/18/2022,2,6,25,40,45,5,4.0,02 06 25 40 45 MB:5
03/15/2022,9,14,28,59,60,24,5.0,09 14 28 59 60 MB:24
03/11/2022,24,28,39,44,66,25,3.0,24 28 39 44 66 MB:25
03/08/2022,7,18,38,58,64,24,3.0,07 18 38 58 64 MB:24
03/04/2022,11,19,28,46,47,5,4.0,11 19 28 46 47 MB:5
03/01/2022,18,22,38,39,50,18,2.0,18 22 38 39 50 MB:18
02/25/2022,15,31,40,56,66,4,3.0,15 31 40 56 66 MB:4
02/22/2022,6,17,22,57,62,3,3.0,06 17 22 57 62 MB:3
02/18/2022,6,11,50,63,68,17,4.0,06 11 50 63 68 MB:17
02/15/2022,2,4,15,21,63,19,3.0,02 04 15 21 63 MB:19
02/11/2022,11,16,23,24,30,24,3.0,11 16 23 24 30 MB:24
02/08/2022,1,17,20,52,54,2,3.0,01 17 20 52 54 MB:2
02/04/2022,7,16,34,44,61,24,4.0,07 16 34 44 61 MB:24
02/01/2022,11,24,38,62,66,1,4.0,11 24 38 62 66 MB:1
01/28/2022,3,16,25,44,55,13,3.0,03 16 25 44 55 MB:13
01/25/2022,3,12,38,53,58,13,3.0,03 12 38 53 58 MB:13
01/21/2022,38,45,46,55,67,18,2.0,38 45 46 55 67 MB:18
01/18/2022,4,19,39,42,52,9,4.0,04 19 39 42 52 MB:9
01/14/2022,5,8,13,22,48,25,2.0,05 08 13 22 48 MB:25
01/11/2022,2,3,19,52,58,16,2.0,02 03 19 52 58 MB:16
01/07/2022,7,29,43,56,57,6,3.0,07 29 43 56 57 MB:6
01/04/2022,4,6,16,21,22,1,3.0,04 06 16 21 22 MB:1
12/31/2021,2,5,30,46,61,8,3.0,02 05 30 46 61 MB:8
12/28/2021,3,5,8,31,38,4,3.0,03 05 08 31 38 MB:4
12/24/2021,16,17,25,36,37,16,2.0,16 17 25 36 37 MB:16
12/21/2021,25,31,58,64,67,24,3.0,25 31 58 64 67 MB:24
12/17/2021,21,32,38,48,62,10,3.0,21 32 38 48 62 MB:10
12/14/2021,33,35,44,55,69,20,3.0,33 35 44 55 69 MB:20
12/10/2021,23,25,40,42,60,8,2.0,23 25 40 42 60 MB:8
12/07/2021,1,7,40,43,68,1,2.0,01 07 40 43 68 MB:1
12/03/2021,22,45,48,58,61,13,5.0,22 45 48 58 61 MB:13
11/30/2021,7,8,26,30,39,17,2.0,07 08 26 30 39 MB:17
11/26/2021,7,27,37,42,59,2,2.0,07 27 37 42 59 MB:2
11/23/2021,7,24,54,57,58,6,3.0,07 24 54 57 58 MB:6
11/19/2021,5,23,52,53,59,18,5.0,05 23 52 53 59 MB:18
11/16/2021,6,22,44,53,65,3,3.0,06 22 44 53 65 MB:3
11/12/2021,30,32,42,46,48,15,2.0,30 32 42 46 48 MB:15
11/09/2021,9,14,16,26,49,14,3.0,09 14 16 26 49 MB:14
11/05/2021,10,15,20,66,68,18,2.0,10 15 20 66 68 MB:18
11/02/2021,5,10,26,58,65,9,2.0,05 10 26 58 65 MB:9
10/29/2021,15,26,28,35,45,4,3.0,15 26 28 35 45 MB:4
10/26/2021,6,14,19,56,62,9,4.0,06 14 19 56 62 MB:9
10/22/2021,9,14,26,29,66,22,3.0,09 14 26 29 66 MB:22
10/19/2021,3,12,13,19,52,1,3.0,03 12 13 19 52 MB:1
10/15/2021,3,20,31,34,65,18,3.0,03 20 31 34 65 MB:18
10/12/2021,21,26,56,61,65,4,3.0,21 26 56 61 65 MB:4
10/08/2021,21,24,36,40,70,22,5.0,21 24 36 40 70 MB:22
10/05/2021,7,11,18,30,36,4,3.0,07 11 18 30 36 MB:4
10/01/2021,21,25,36,62,63,6,2.0,21 25 36 62 63 MB:6
09/28/2021,18,30,43,68,69,22,4.0,18 30 43 68 69 MB:22
09/24/2021,17,21,27,43,56,15,3.0,17 21 27 43 56 MB:15
09/21/2021,36,41,45,51,56,13,3.0,36 41 45 51 56 MB:13
09/17/2021,17,32,40,59,61,18,3.0,17 32 40 59 61 MB:18
09/14/2021,4,13,19,63,64,16,2.0,04 13 19 63 64 MB:16
09/10/2021,20,32,35,47,64,18,2.0,20 32 35 47 64 MB:18
09/07/2021,15,17,25,32,53,12,3.0,15 17 25 32 53 MB:12
09/03/2021,7,10,12,61,65,3,2.0,07 10 12 61 65 MB:3
08/31/2021,8,14,31,58,68,15,3.0,08 14 31 58 68 MB:15
